Model1,Model2,statistic,pvalue_raw
DT_KM_COS_MAHA,XGBRF_KM_C,332.5,0.0016260452643666716
DT_KM_COS_MAHA,XGBRF_KM_NN,434.5,0.006812578697142182
DT_KM_COS_MAHA,XGBRF_KM_COS,401.5,0.0044357202547786485
DT_KM_COS_MAHA,XGBRF_KM_COS_MAHA,354.5,0.014518499133829823
DT_KM_COS_MAHA,XGBRF_HDBSCAN_NN,491.0,0.06676469539831617
DT_KM_COS_MAHA,XGBRF_HDBSCAN_COS,454.0,0.004536623597073868
DT_KM_COS_MAHA,XGBRF_KM_SCAN_NN,397.5,0.0002087243579455221
DT_KM_COS_MAHA,XGBRF_KM_SCAN_COS,488.5,0.04118207252065281
DT_KM_COS_MAHA,XGBRF_KM_SCAN_COS_MAHA,407.5,0.008447347424790719
DT_HDBSCAN_NN,DT_HDBSCAN_COS,371.0,0.08813484707482043
DT_HDBSCAN_NN,DT_KM_SCAN_NN,243.0,0.004461849950991632
DT_HDBSCAN_NN,DT_KM_SCAN_COS,514.5,0.32013464254609714
DT_HDBSCAN_NN,DT_KM_SCAN_COS_MAHA,538.5,0.4507000453945035
DT_HDBSCAN_NN,RF,436.5,4.570958663364062e-09
DT_HDBSCAN_NN,RF_KM_C,651.0,0.1527836583830328
DT_HDBSCAN_NN,RF_KM_NN,594.0,0.5044100339771052
DT_HDBSCAN_NN,RF_KM_COS,599.5,0.5411616302356168
DT_HDBSCAN_NN,RF_KM_COS_MAHA,584.0,0.10989647167917509
DT_HDBSCAN_NN,RF_HDBSCAN_NN,185.0,0.00014587698617359455
DT_HDBSCAN_NN,RF_HDBSCAN_COS,170.0,0.0019110814326872279
DT_HDBSCAN_NN,RF_KM_SCAN_NN,393.0,0.4533567634207216
DT_HDBSCAN_NN,RF_KM_SCAN_COS,372.5,0.444322395265103
DT_HDBSCAN_NN,RF_KM_SCAN_COS_MAHA,489.5,0.14550436001588354
DT_HDBSCAN_NN,XGB,716.0,0.0050867638569836475
DT_HDBSCAN_NN,XGB_KM_C,486.0,0.010010113272159567
DT_HDBSCAN_NN,XGB_KM_NN,925.0,0.43227047546872155
DT_HDBSCAN_NN,XGB_KM_COS,547.0,0.3733261657034066
DT_HDBSCAN_NN,XGB_KM_COS_MAHA,698.5,0.04827176756512197
DT_HDBSCAN_NN,XGB_HDBSCAN_NN,404.5,0.013823900463697327
DT_HDBSCAN_NN,XGB_HDBSCAN_COS,472.5,0.0285572780827176
DT_HDBSCAN_NN,XGB_KM_SCAN_NN,929.0,0.44797996714771215
DT_HDBSCAN_NN,XGB_KM_SCAN_COS,416.0,0.029438204055587246
DT_HDBSCAN_NN,XGB_KM_SCAN_COS_MAHA,325.0,0.006089298110587063
DT_HDBSCAN_NN,XGBRF,711.0,0.041001700455724405
DT_HDBSCAN_NN,XGBRF_KM_C,458.5,0.02058091173427991
DT_HDBSCAN_NN,XGBRF_KM_NN,538.5,0.047984664912331915
DT_HDBSCAN_NN,XGBRF_KM_COS,479.5,0.05146725957398388
DT_HDBSCAN_NN,XGBRF_KM_COS_MAHA,470.5,0.14966517772264099
DT_HDBSCAN_NN,XGBRF_HDBSCAN_NN,533.0,0.42087989948985804
DT_HDBSCAN_NN,XGBRF_HDBSCAN_COS,455.0,0.030598384971291477
DT_HDBSCAN_NN,XGBRF_KM_SCAN_NN,491.0,0.0015254389741081568
DT_HDBSCAN_NN,XGBRF_KM_SCAN_COS,521.5,0.11954759218148887
DT_HDBSCAN_NN,XGBRF_KM_SCAN_COS_MAHA,515.5,0.0685729862386806
DT_HDBSCAN_COS,DT_KM_SCAN_NN,28.5,0.11987926381198596
DT_HDBSCAN_COS,DT_KM_SCAN_COS,11.5,0.00011518070720895602
DT_HDBSCAN_COS,DT_KM_SCAN_COS_MAHA,96.0,0.18302799358021227
DT_HDBSCAN_COS,RF,231.5,6.784199860082003e-10
DT_HDBSCAN_COS,RF_KM_C,95.5,0.00041286703793995985
DT_HDBSCAN_COS,RF_KM_NN,39.0,0.0017015146508835449
DT_HDBSCAN_COS,RF_KM_COS,39.0,0.001698085652513985
DT_HDBSCAN_COS,RF_KM_COS_MAHA,64.5,6.19996657955107e-05
DT_HDBSCAN_COS,RF_HDBSCAN_NN,319.5,1.4057904148397295e-05
DT_HDBSCAN_COS,RF_HDBSCAN_COS,288.5,0.00021261668834798714
DT_HDBSCAN_COS,RF_KM_SCAN_NN,370.5,0.055981023803484554
DT_HDBSCAN_COS,RF_KM_SCAN_COS,350.0,0.052646560732475874
DT_HDBSCAN_COS,RF_KM_SCAN_COS_MAHA,45.5,0.00013531847835365784
DT_HDBSCAN_COS,XGB,377.0,0.00019969512684500288
DT_HDBSCAN_COS,XGB_KM_C,126.0,7.192925601046805e-06
DT_HDBSCAN_COS,XGB_KM_NN,363.0,0.029198759790072512
DT_HDBSCAN_COS,XGB_KM_COS,279.0,0.00895996521146377
DT_HDBSCAN_COS,XGB_KM_COS_MAHA,294.0,0.0006938884725005653
