Dataset,Model,Metric,Best Score,Mean Score,Best Params
DT_KM_SCAN_COS,XGBRF,accuracy,0.9866666666666667,0.9841666666666667,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_SCAN_COS,XGBRF,f1-score,0.9868743047830921,0.9844605116796441,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_SCAN_COS,XGBRF,roc_auc,0.9959999999999999,0.995,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,DT,precision,0.9875,0.97765406162465,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,DT,accuracy,0.9833333333333334,0.9775,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,DT,f1-score,0.9829572540918481,0.9773225045023571,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,DT,roc_auc,0.989111111111111,0.9820555555555555,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,RF,precision,0.9741071428571428,0.970248599439776,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_SCAN_COS_MAHA,RF,accuracy,0.9766666666666668,0.9725000000000001,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,RF,f1-score,0.9769297235023041,0.972151056288292,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,RF,roc_auc,0.9986666666666666,0.998,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS_MAHA,XGB,accuracy,0.9833333333333334,0.9816666666666667,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS_MAHA,XGB,f1-score,0.9836559139784946,0.9820430107526882,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS_MAHA,XGB,roc_auc,0.9962222222222221,0.9943333333333332,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.01}"
DT_KM_SCAN_COS_MAHA,XGBRF,precision,0.98125,0.9779166666666668,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,XGBRF,accuracy,0.9866666666666667,0.9850000000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_COS_MAHA,XGBRF,f1-score,0.9868743047830921,0.9852651093807934,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
